Designator,Mid X,Mid Y,Layer,Rotation
R106,10.16,167.00,Top,270.0
R107,139.70,170.81,Top,270.0
R108,132.08,170.81,Top,270.0
R109,124.46,170.81,Top,270.0
R110,116.84,170.81,Top,270.0
R111,109.22,170.81,Top,270.0
R112,101.60,170.81,Top,270.0
R113,93.98,170.81,Top,270.0
R114,86.36,170.81,Top,270.0
R115,78.74,170.81,Top,270.0
R116,71.12,170.81,Top,270.0
R117,63.50,170.81,Top,270.0
R118,55.88,170.81,Top,270.0
R119,48.26,170.81,Top,270.0
R120,40.64,170.81,Top,270.0
R121,33.02,170.81,Top,270.0
R122,25.40,170.81,Top,270.0
R123,17.78,170.81,Top,270.0
R124,10.16,170.81,Top,270.0
R125,54.61,61.60,Top,0.0
R126,63.50,61.60,Top,0.0
R127,54.61,56.52,Top,0.0
R128,63.50,56.52,Top,0.0
R129,45.72,61.60,Top,0.0
R130,16.51, 9.53,Top,180.0
R131,16.51, 6.99,Top,180.0
R132,16.51, 4.45,Top,180.0
R133,77.47,66.67,Top,0.0
R134,97.79,53.98,Top,0.0
R135,87.63,53.98,Top,0.0
R136,97.79,66.67,Top,0.0
R137,87.63,66.67,Top,0.0
R138,144.15,184.15,Top,270.0
R139,16.51, 1.91,Top,180.0
R140,154.94,156.84,Top,90.0
R141,154.94,153.03,Top,90.0
R142,154.94,149.22,Top,90.0
R143,152.40,149.22,Top,90.0
R144,147.32,156.84,Top,90.0
R145,147.32,153.03,Top,90.0
R146,147.32,149.22,Top,90.0
R147,144.78,149.22,Top,90.0
R148,139.70,156.84,Top,90.0
R149,139.70,153.03,Top,90.0
R150,139.70,149.22,Top,90.0
R151,137.16,149.22,Top,90.0
R152,132.08,156.84,Top,90.0
R153,132.08,153.03,Top,90.0
R154,132.08,149.22,Top,90.0
R155,129.54,149.22,Top,90.0
R156,124.46,156.84,Top,90.0
R157,124.46,153.03,Top,90.0
R158,124.46,149.22,Top,90.0
R159,121.92,149.22,Top,90.0
R160,116.84,156.84,Top,90.0
R161,116.84,153.03,Top,90.0
R162,116.84,149.22,Top,90.0
R163,114.30,149.22,Top,90.0
R164,109.22,156.84,Top,90.0
R165,109.22,153.03,Top,90.0
R166,109.22,149.22,Top,90.0
R167,106.68,149.22,Top,90.0
R168,101.60,156.84,Top,90.0
R169,101.60,153.03,Top,90.0
R170,101.60,149.22,Top,90.0
R171,99.06,149.22,Top,90.0
R172,93.98,156.84,Top,90.0
R173,93.98,153.03,Top,90.0
R174,93.98,149.22,Top,90.0
R175,91.44,149.22,Top,90.0
R176,86.36,156.84,Top,90.0
R177,86.36,153.03,Top,90.0
R178,86.36,149.22,Top,90.0
R179,83.82,149.22,Top,90.0
R180,78.74,156.84,Top,90.0
R181,78.74,153.03,Top,90.0
R182,78.74,149.22,Top,90.0
R183,76.20,149.22,Top,90.0
R184,71.12,156.84,Top,90.0
R185,71.12,153.03,Top,90.0
R186,71.12,149.22,Top,90.0
R187,68.58,149.22,Top,90.0
R188,63.50,156.84,Top,90.0
R189,63.50,153.03,Top,90.0
R190,63.50,149.22,Top,90.0
R191,60.96,149.22,Top,90.0
R192,48.26,156.84,Top,90.0
R193,55.88,156.84,Top,90.0
R194,55.88,153.03,Top,90.0
R195,55.88,149.22,Top,90.0
R196,53.34,149.22,Top,90.0
R197,48.26,153.03,Top,90.0
R198,48.26,149.22,Top,90.0
R199,45.72,149.22,Top,90.0
R200,40.64,156.84,Top,90.0
R201,40.64,153.03,Top,90.0
R202,40.64,149.22,Top,90.0
R203,38.10,149.22,Top,90.0
R204,33.02,156.84,Top,90.0
R205,33.02,153.03,Top,90.0
R206,33.02,149.22,Top,90.0
R207,30.48,149.22,Top,90.0
R208,25.40,156.84,Top,90.0
R209,25.40,153.03,Top,90.0
R210,25.40,149.22,Top,90.0
R211,22.86,149.22,Top,90.0
R212,17.78,156.84,Top,90.0
R213,17.78,153.03,Top,90.0
R214,17.78,149.22,Top,90.0
R215,15.24,149.22,Top,90.0
R216,10.16,156.84,Top,90.0
R217,10.16,153.03,Top,90.0
R218,10.16,149.22,Top,90.0
R219, 7.62,149.22,Top,90.0
R220,83.82,64.14,Top,0.0
R221,93.98,64.14,Top,0.0
R222,83.82,51.44,Top,0.0
R223,93.98,51.44,Top,0.0
R224,73.66,64.14,Top,0.0
R225,16.51,12.07,Top,180.0
R226,154.94,111.76,Top,90.0
R227,152.40,111.76,Top,90.0
R228,154.94,107.95,Top,90.0
R229,152.40,107.95,Top,90.0
R230,147.32,111.76,Top,90.0
R231,144.78,111.76,Top,90.0
R232,147.32,107.95,Top,90.0
R233,144.78,107.95,Top,90.0
R234,137.16,107.95,Top,90.0
R235,139.70,107.95,Top,90.0
R236,137.16,111.76,Top,90.0
R237,139.70,111.76,Top,90.0
R238,129.54,111.76,Top,90.0
R239,132.08,111.76,Top,90.0
R240,132.08,107.95,Top,90.0
R241,129.54,107.95,Top,90.0
R242,121.92,107.95,Top,90.0
R243,121.92,111.76,Top,90.0
R244,124.46,107.95,Top,90.0
R245,124.46,111.76,Top,90.0
R246,114.30,107.95,Top,90.0
R247,114.30,111.76,Top,90.0
R248,116.84,107.95,Top,90.0
R249,116.84,111.76,Top,90.0
R250,106.68,107.95,Top,90.0
R251,106.68,111.76,Top,90.0
R252,109.22,107.95,Top,90.0
R253,109.22,111.76,Top,90.0
R254,99.06,107.95,Top,90.0
R255,99.06,111.76,Top,90.0
R256,101.60,107.95,Top,90.0
R257,101.60,111.76,Top,90.0
R258,91.44,107.95,Top,90.0
R259,91.44,111.76,Top,90.0
R260,93.98,107.95,Top,90.0
R261,93.98,111.76,Top,90.0
R262,83.82,107.95,Top,90.0
R263,83.82,111.76,Top,90.0
R264,86.36,107.95,Top,90.0
R265,86.36,111.76,Top,90.0
R266,76.20,107.95,Top,90.0
R267,76.20,111.76,Top,90.0
R268,78.74,107.95,Top,90.0
R269,78.74,111.76,Top,90.0
R270,68.58,107.95,Top,90.0
R271,68.58,111.76,Top,90.0
R272,71.12,107.95,Top,90.0
R273,71.12,111.76,Top,90.0
R274,60.96,107.95,Top,90.0
R275,60.96,111.76,Top,90.0
R276,63.50,107.95,Top,90.0
R277,63.50,111.76,Top,90.0
R278,53.34,107.95,Top,90.0
R279,53.34,111.76,Top,90.0
R280,55.88,107.95,Top,90.0
R281,55.88,111.76,Top,90.0
R282,45.72,107.95,Top,90.0
R283,45.72,111.76,Top,90.0
R284,48.26,107.95,Top,90.0
R285,48.26,111.76,Top,90.0
R286,38.10,107.95,Top,90.0
R287,38.10,111.76,Top,90.0
R288,40.64,107.95,Top,90.0
R289,40.64,111.76,Top,90.0
R290,31.12,107.95,Top,90.0
R291,31.12,111.76,Top,90.0
R292,33.66,107.95,Top,90.0
R293,33.66,111.76,Top,90.0
R294,25.40,111.76,Top,90.0
R295,25.40,107.95,Top,90.0
R296,22.86,111.76,Top,90.0
R297,22.86,107.95,Top,90.0
R298,15.88,107.95,Top,90.0
R299,15.88,111.76,Top,90.0
R300,18.41,107.95,Top,90.0
R301,18.41,111.76,Top,90.0
R302, 7.62,107.95,Top,90.0
R303, 7.62,111.76,Top,90.0
R304,10.16,107.95,Top,90.0
R305,10.16,111.76,Top,90.0
R306,23.50,40.64,Top,0.0
R307,44.45,40.64,Top,0.0
R310,69.85,11.43,Top,270.0
S1,87.63,59.05,Top,0.0
S2,97.79,59.05,Top,0.0
S3,87.63,46.36,Top,0.0
S4,97.79,46.36,Top,0.0
S5,77.47,59.05,Top,0.0
STAR_1,150.50,161.29,Top,90.0
STAR_2,142.88,161.29,Top,90.0
STAR_3,135.25,161.29,Top,90.0
STAR_4,127.64,161.29,Top,90.0
STAR_5,120.02,161.29,Top,90.0
STAR_6,112.40,161.29,Top,90.0
STAR_7,104.78,161.29,Top,90.0
STAR_8,97.16,161.29,Top,90.0
STAR_9,89.54,161.29,Top,90.0
STAR_10,81.92,161.29,Top,90.0
STAR_11,74.30,161.29,Top,90.0
STAR_12,66.67,161.29,Top,90.0
STAR_13,59.05,161.29,Top,90.0
STAR_14,51.44,161.29,Top,90.0
STAR_15,43.82,161.29,Top,90.0
STAR_16,36.20,161.29,Top,90.0
STAR_17,28.58,161.29,Top,90.0
STAR_18,20.96,161.29,Top,90.0
STAR_19,13.34,161.29,Top,90.0
STAR_20, 5.71,161.29,Top,90.0
U$1,69.85,17.14,Top,0.0
U1,35.56,41.91,Top,0.0
ULN2,34.93,63.50,Top,270.0
